country,continent,sovereignty_date,sovereignty_date_precision,sovereignty_date_raw,last_subordination_date,last_subordination_date_precision,last_subordination_date_raw,previous_power,notes,capital
Colombia,The Americas,1819-08-07,full,7 Aug 1819,1819-08-07,full,7 Aug 1819,Spain,1886–present: Republic of Colombia ( unitary state ) 1863–1886: United States of Colombia ( federal state ) 1858–1863: Granadine Confederation ( confederal state ) 1831–1858: Republic of New Granada ( unitary state ) 1819–1831: Republic of Colombia ( Gran Colombia ) ( federal state ),Bogotá
Comoros,Africa,1975-07-06,full,6 July 1975,1975-07-06,full,6 July 1975,France,"2001–present:Union of the Comores, a Federation 1975–2001: Federal and Islamic Republic of Comoros",Moroni
"Congo, Democratic Republic of the",Africa,1960-06-30,full,30 June 1960,1960-06-30,full,30 June 1960,Belgium,1997–present: Democratic Republic of the Congo 1971–1997: Republic of Zaire 1964–1971: Democratic Republic of the Congo (Kinshasa) 1960–1964: Republic of the Congo (Léopoldville),Kinshasa
"Congo, Republic of the",Africa,1960-08-15,full,15 Aug 1960,1960-08-15,full,15 Aug 1960,France,1992–present: Republic of the Congo 1969–1992: People's Republic of the Congo 1960–1969: Republic of the Congo (Brazzaville),Brazzaville
Costa Rica,The Americas,1838-11-14,full,14 Nov 1838,1838,year,1838,Federal Republic of Central America,1948–present: Republic of Costa Rica (Second) 1848–1948: First Costa Rican Republic 1838–1847: Free State of Costa Rica,San José
Croatia,Europe,1991-10-08,full,8 Oct 1991,1991-10-08,full,8 Oct 1991,Yugoslavia,1991–present: Republic of Croatia,Zagreb
Cuba,The Americas,1902-05-20,full,20 May 1902,1909-02-02,full,2 February 1909,United States,"1959–present: Republic of Cuba , sovereign communist state 1902–1959: Republic of Cuba , sovereign capitalist state",Havana
Cyprus,Europe,1960-08-16,full,16 Aug 1960,1960-08-16,full,16 Aug 1960,United Kingdom,1960–present: Republic of Cyprus Note: Cyprus has been divided between two ethnicities as one sovereign state: Greek Cyprus and Turkish Cyprus from 1983.,Nicosia
Czechia,Europe,1993-01-01,full,1 Jan 1993,1993-01-01,full,1 Jan 1993,Czechoslovakia,1993–present: Czech Republic,Prague
Denmark,Europe,714,year,714,1945-05-05,full,5 May 1945,Germany,"1864–present: Kingdom of Denmark (It consists of metropolitan Denmark (sometimes called ""Denmark proper"") and the realm's two autonomous (but not sovereign) regions: the Faroe Islands in the North Atlantic and Greenland in North America) 1814-1864: Danish Unitary State - Kingdom of Denmark in personal union with the Duchy of Schleswig , Duchy of Holstein and Duchy of Lauenburg 1537–1814: Denmark-Norway – Kingdom of Denmark, in real union with the Kingdom of Norway , Duchy of Schleswig , and the Duchy of Holstein 1523–1537: Denmark-Norway – Kingdom of Denmark, in personal union with the Kingdom of Norway , Duchy of Schleswig , and the Duchy of Holstein 1397–1523: Kingdom of Denmark, in personal union with the Kingdom of Sweden and the Kingdom of Norway . This union was known as the Kalmar Union 714-1397: Kingdom of Denmark",Copenhagen
Djibouti,Africa,1977-06-27,full,27 June 1977,1977-06-27,full,27 June 1977,France,1977–present: Republic of Djibouti,Djibouti
Dominica,The Americas,1978-11-03,full,3 Nov 1978,1978-11-03,full,3 Nov 1978,United Kingdom,1978–present: Commonwealth of Dominica,Roseau
